sensitivity,origin,horizon,model,country,n,MAE,RMSE,MAPE,WAPE,bias_pct
exclude_spike_train,26,13,ridge,Netherlands,39,306.4363406879933,408.5635162766295,12.545468535089336,12.086507030645272,7.034173558965369
exclude_spike_train,26,13,ridge,Sweden,39,186.3689903839061,254.70025470168864,10.177259340451839,9.697652601697582,5.00944372387728
exclude_spike_train,26,26,index_trend,Denmark,78,60.61923153666374,111.5297301112091,4.0543687735837874,4.565097813043468,-1.6714623183362134
exclude_spike_train,26,26,index_trend,Netherlands,78,140.14696402478225,216.1348787012796,6.2069731518829965,6.345503998893032,-5.675371946961225
exclude_spike_train,26,26,index_trend,Sweden,78,113.69770575441488,162.0598278255345,6.188806028626017,6.7953083710150795,-5.598378418281465
exclude_spike_train,26,26,rf,Denmark,78,138.48420855472665,217.5329658406517,9.097973302848219,10.428933881022136,-5.8421097502385155
exclude_spike_train,26,26,rf,Netherlands,78,244.28119905590523,367.0462950507288,10.568543529318394,11.060441703107667,-6.869560976200744
exclude_spike_train,26,26,rf,Sweden,78,185.97168036461775,283.4742926627861,9.212369568932424,11.11486734027047,-9.287269053132524
exclude_spike_train,26,26,ridge,Denmark,78,151.69524716671103,198.13683640759788,11.652732166543018,11.423827447746522,7.571380191821529
exclude_spike_train,26,26,ridge,Netherlands,78,268.82259799926385,368.9951746901264,12.457743286499442,12.171614864917823,9.00507722596842
exclude_spike_train,26,26,ridge,Sweden,78,177.09586926376954,232.26763661114856,11.160966105606835,10.584391610149588,7.002823277885586
exclude_spike_train,26,52,index_trend,Denmark,156,60.250706454997925,96.349538522224,4.125502393725975,4.278916242291384,-2.1485904475772917
exclude_spike_train,26,52,index_trend,Netherlands,156,211.45782068312053,308.2133504763488,8.197063201224692,9.022718577085262,-8.706955295725255
exclude_spike_train,26,52,index_trend,Sweden,156,139.26458881839864,196.6540967412893,6.921049860007404,7.891462746473929,-7.153658244935501
exclude_spike_train,26,52,rf,Denmark,156,210.69512952327796,321.4098440483431,12.322141987468992,14.963257112382882,-11.842618615146325
exclude_spike_train,26,52,rf,Netherlands,156,357.48800862894484,556.2132670259343,13.485586602043847,15.253697811324658,-12.680840696391884
