sensitivity,origin,horizon,model,channel,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,65,13,ridge_price,Retail/Grocery,39,182.64103442778944,221.56784919600554,5.0327662729921165,5.120445364918006,-1.8447481773911045
all,65,13,ridge_promo,DTC Online,39,114.27923635318605,139.41921430724247,5.359052124299938,5.130351453011011,0.05948590223187282
all,65,13,ridge_promo,Gym & Office,39,58.479362627781576,72.41445616602736,4.778166914151159,4.688350825316535,0.41101786149973596
all,65,13,ridge_promo,Retail/Grocery,39,184.49548164661368,223.60849989957137,5.081933250640323,5.172435848304519,-1.9800346492368766
all,65,13,seasonal52,DTC Online,39,560.8717948717949,582.3961115677463,25.125310608308798,25.17928470295719,-25.17928470295719
all,65,13,seasonal52,Gym & Office,39,309.4102564102564,320.10459027940965,24.775531264417793,24.80573942359084,-24.80573942359084
all,65,13,seasonal52,Retail/Grocery,39,929.3589743589744,1006.4676615997922,25.660914477950076,26.05510786505546,-26.05510786505546
exclude_spike_train,26,13,index_trend,DTC Online,39,120.736058627169,188.84683229683952,5.691283376224381,6.306105996410278,-4.629280027343708
exclude_spike_train,26,13,index_trend,Gym & Office,39,73.56589471733803,127.08345522468991,5.854440286721487,6.759818801630854,-5.280255874340061
exclude_spike_train,26,13,index_trend,Retail/Grocery,39,174.38696568075602,276.5808783692035,5.421901874696982,5.85009948867111,-3.97891204001545
exclude_spike_train,26,13,rf,DTC Online,39,280.7585587227491,378.81122511941953,13.077484199911446,14.664162892481771,-13.288451226682914
exclude_spike_train,26,13,rf,Gym & Office,39,98.33583634590453,153.89040006532161,8.234524239296428,9.035877806682555,-3.6210718970486706
exclude_spike_train,26,13,rf,Retail/Grocery,39,437.0233325495583,547.9987013977114,14.374955395000585,14.660671250888361,-13.091921189151465
exclude_spike_train,26,13,ridge,DTC Online,39,210.14552229577325,269.4324541554792,11.288271687150269,10.976007941093568,5.398027563015714
exclude_spike_train,26,13,ridge,Gym & Office,39,126.66547786615759,162.08621960068595,11.943810667951489,11.63903031543516,4.535004674474294
exclude_spike_train,26,13,ridge,Retail/Grocery,39,334.8102602429207,432.5120763589792,11.713846410191527,11.23176451062647,6.889640771299406
exclude_spike_train,26,26,index_trend,DTC Online,78,103.91935781405745,154.3045963381423,5.719889782997642,6.23233294850528,-4.755302740058508
exclude_spike_train,26,26,index_trend,Gym & Office,78,54.437040557428915,95.2932824524962,5.056341784864977,5.782814212240154,-4.651186059841097
exclude_spike_train,26,26,index_trend,Retail/Grocery,78,156.10750294437452,229.18515692140633,5.673916386230179,6.002092596533336,-4.5421871957299835
exclude_spike_train,26,26,rf,DTC Online,78,198.85057921395514,288.0047617011918,10.390926106827742,11.925622354999271,-9.695457507491572
exclude_spike_train,26,26,rf,Gym & Office,78,76.40167471176191,117.82557809715138,7.7039770694129786,8.11610414228942,0.46948064947875423
exclude_spike_train,26,26,rf,Retail/Grocery,78,293.4848340495325,406.90495072200287,10.783983224858314,11.284038988639729,-8.744934633187093
exclude_spike_train,26,26,ridge,DTC Online,78,185.76088705105596,238.17819688810587,11.398951576490099,11.140597105915289,7.3655081920668035
exclude_spike_train,26,26,ridge,Gym & Office,78,112.44278884058305,141.74824151924676,12.168851021705276,11.944730108633832,7.213709521450444
